#{"t_start": 1751999596.7623076, "env_id": "None"}
r,l,t
-35.77,32,70.534804
-35.01,32,70.71199
-32.97,31,70.88915
-38.47,29,71.047051
-38.72,35,71.253547
-32.14,37,71.462907
-32.18,39,71.68961
-32.13,33,71.884691
-33.0,36,72.080776
-38.27,31,72.283513
-32.13,39,73.104243
-39.0,24,73.243008
-33.0,27,73.395348
-33.0,38,73.584968
38.052632,25,73.734918
40.980416,27,73.87509
-32.6,33,74.057003
-38.82,29,74.229982
32.260536,51,74.513953
36.0,31,74.668797
32.903448,45,74.889638
33.0,29,75.020384
-38.76,28,75.160259
-38.18,47,75.413062
-35.37,29,75.563709
-38.26,24,75.693693
38.21831,57,75.992808
-32.11,32,76.154465
35.326923,33,76.335618
-35.88,31,76.508668
-35.5,36,76.693635
-39.0,43,76.946771
38.688721,37,77.155503
32.979167,45,77.392776
32.55102,30,77.569383
-41.02,23,77.701412
-35.1,34,77.910556
-32.17,36,78.126998
-41.76,46,78.376475
32.491409,42,78.631358
-38.34,30,78.783527
38.173333,25,78.919568
32.162362,36,79.097584
34.873618,46,79.331549
38.650909,22,79.449079
32.097222,35,79.636436
33.0,35,79.828458
32.706383,26,79.974662
-32.25,31,80.148116
42.591265,32,80.336156
35.901408,24,80.480389
-35.46,39,80.681438
-38.43,24,80.820594
-35.06,32,80.976526
-35.39,41,81.196614
-36.0,29,81.351075
35.410774,26,81.490047
-35.68,26,81.633607
-32.05,29,81.788286
-32.65,32,81.956544
32.880795,52,82.218028
-41.07,34,82.397734
-36.0,25,82.523284
-38.11,30,82.698976
33.0,46,82.94476
38.455556,27,83.08209
-36.0,48,83.358751
-35.12,34,83.540858
35.774336,35,83.748025
-33.0,47,83.987423
41.804444,31,84.160743
34.71573,31,84.307784
35.45122,26,84.464124
-33.0,29,84.625053
-41.74,31,84.805232
35.923954,32,84.985099
38.394309,39,85.203799
40.583198,27,85.364986
35.552083,34,85.577227
35.441696,43,85.83022
-38.78,30,86.01343
36.0,30,86.184725
-38.45,32,86.375093
32.278195,99,86.928246
-36.0,36,87.123064
-32.72,32,87.2957
35.108225,30,87.453666
-32.22,27,87.600785
-35.21,27,87.743975
-32.91,30,87.908097
37.288188,33,88.093219
33.0,34,88.28215
-35.78,32,88.449232
36.771099,25,88.586166
-38.31,34,88.791611
-35.11,45,89.059565
-35.43,27,89.204726
35.641745,35,89.41687
-38.07,26,89.574861
32.101818,26,89.731088
35.152,42,89.96561
35.629371,31,90.148396
-36.0,43,90.388657
32.607287,38,90.595606
-32.49,55,90.902938
-36.0,43,91.134365
-36.0,26,91.250971
-36.0,36,91.467921
32.453642,37,91.680061
-35.34,32,91.854403
38.408955,33,92.029159
-33.0,36,92.218933
38.111111,41,92.4649
41.007605,24,92.601665
43.433138,25,92.740802
35.297902,33,92.915481
32.983806,40,93.120077
-32.88,30,93.277481
-44.33,24,93.3973
30.0,30,93.554341
38.902098,23,93.681049
-35.64,28,93.831562
-32.84,33,93.999728
-38.4,25,94.135174
32.153285,27,94.281473
-38.57,29,94.448403
