#{"t_start": 1751995681.3576336, "env_id": "None"}
r,l,t
36.0,30,107.894363
38.212928,27,108.036285
44.81203,34,108.217935
46.980654,28,108.361313
43.002331,28,108.516779
38.756364,27,108.665992
44.530769,25,108.814752
38.451064,29,108.965289
35.592885,44,109.191664
32.550847,42,109.407144
41.807277,38,109.619991
36.0,41,109.833587
38.371841,34,110.887492
35.311857,50,111.185385
44.702105,34,111.380997
47.032143,23,111.511939
-32.41,39,111.744087
35.28254,35,111.950958
43.555915,27,112.112377
44.113018,32,112.309954
-32.31,45,112.562596
44.680352,19,112.671446
44.426357,23,112.813078
38.573944,42,113.07305
37.628124,69,113.45821
35.069476,34,113.644675
32.559671,87,114.164158
-32.13,60,114.507324
38.703422,43,114.747233
41.168831,34,114.96446
44.786499,46,115.197966
43.813913,39,115.399107
35.042714,34,115.57341
39.0,26,115.708343
38.740602,36,115.892135
38.582329,26,116.021592
-32.38,53,116.319135
42.0,33,116.49589
35.003636,40,116.705032
42.0,29,116.855788
36.0,41,117.061257
38.518657,45,117.279504
40.93065,38,117.483197
41.117647,45,117.723218
44.285164,25,117.866491
35.563218,41,118.079062
38.231315,38,118.34153
38.429191,36,118.544001
39.0,33,118.755179
36.0,40,118.979259
37.098803,129,119.739105
44.844358,25,119.87749
32.236364,68,120.28108
44.454167,21,120.408438
41.549451,19,120.505525
37.191801,46,120.737792
38.838384,35,120.927298
41.157509,25,121.075479
44.035532,20,121.18858
44.065109,35,121.374092
38.398577,33,121.558391
38.051282,35,121.73929
39.0,33,121.933402
33.0,45,122.168314
44.803487,28,122.353086
47.329806,47,122.621985
41.602941,25,122.758715
44.420545,20,122.874935
32.516484,66,123.213109
38.034227,33,123.397566
43.72803,33,123.552871
38.748344,26,123.689372
43.682184,28,123.851828
37.54106,54,124.176448
44.350993,26,124.321892
35.652027,90,124.86452
40.170713,26,125.020768
40.168361,35,125.228675
41.751825,34,125.425986
38.156214,33,125.630231
38.804636,51,125.936633
40.934681,32,126.121827
35.876543,34,126.35083
41.614545,40,126.58296
39.0,36,126.77399
44.419708,61,127.13493
38.026022,35,127.365369
41.082707,28,127.529327
35.418367,42,127.766027
38.020912,47,128.027954
38.180556,42,128.263173
36.0,36,128.448824
47.107011,17,128.543646
35.783051,31,128.724459
47.607362,30,128.895031
37.815784,37,129.137736
35.14,50,129.411763
36.0,29,129.574193
40.936268,27,129.731499
38.130597,26,129.880135
38.525,37,130.07539
38.532203,32,130.240317
44.727273,23,130.365024
44.592308,30,130.528767
35.878327,27,130.669265
38.366038,30,130.824855
41.562264,35,131.018956
32.876068,44,131.254459
47.415512,39,131.486182
41.732878,34,131.674426
44.011765,25,131.812513
41.080851,58,132.128386
35.621701,38,132.329042
35.325503,51,132.593663
33.0,36,132.777616
40.593056,31,132.949488
-32.76,38,133.136789
32.327759,45,133.374281
-32.27,59,133.673922
38.634538,38,133.850391
34.671761,36,134.042766
36.0,34,134.219635
38.480144,39,134.42505
41.007463,27,134.556185
46.806556,27,134.70263
41.778195,36,134.898314
38.2891,23,135.021491
-32.13,49,135.279886
43.754309,53,135.567646
47.496667,33,135.744351
38.052132,48,135.998188
41.397947,47,136.253122
44.751382,30,136.423762
38.09465,38,136.629992
38.375,26,136.77233
41.049057,39,136.982635
47.714894,17,137.079134
40.628718,49,137.353125
32.457875,36,137.55529
44.404984,42,137.793082
45.0,22,137.915148
32.113636,42,138.145201
41.869444,27,138.296787
38.813793,28,138.45165
35.575758,60,138.766278
43.387794,32,138.938442
47.219409,36,139.124531
38.926199,37,139.317241
41.00339,36,139.502455
35.940171,54,139.790638
38.002474,39,139.987315
38.579032,43,140.207542
38.766667,52,140.480796
44.372822,26,140.615943
35.533784,61,140.917155
35.625,41,141.119313
44.168285,30,141.279517
-32.84,45,141.517958
38.802158,29,141.672019
43.980696,22,141.794544
33.0,27,141.92743
39.0,34,142.101396
36.0,36,142.284823
35.521186,29,143.473927
35.217949,38,143.672096
41.590278,38,143.880309
40.524391,32,144.045373
46.554225,50,144.314586
44.155629,31,144.485227
47.274648,18,144.581193
44.033835,80,145.029962
40.445117,29,145.187674
41.227273,23,145.312143
44.126985,27,145.46103
43.609097,25,145.613475
39.0,45,145.851963
41.042734,26,145.987395
33.0,37,146.178628
44.804281,28,146.326833
39.577431,33,146.501309
47.150685,20,146.608572
39.0,23,146.732333
38.173709,52,146.986868
33.0,29,147.129435
38.38484,39,147.324911
38.178707,37,147.519122
35.31457,32,147.691195
41.46371,29,147.851875
44.708177,30,148.019012
40.441527,33,148.191458
37.655894,37,148.396852
40.682598,44,148.621905
-34.3,51,148.890221
35.287938,40,149.103383
43.641426,30,149.263309
43.702709,27,149.407286
38.56391,32,149.578619
38.373585,24,149.703418
35.88664,29,149.859297
47.378479,21,149.974815
41.233449,44,150.212362
41.174545,29,150.362386
42.0,42,150.581275
43.821186,29,150.73044
39.0,24,150.854803
44.901235,47,151.114207
40.580241,31,151.281467
44.212996,16,151.363679
35.302128,48,151.620256
45.0,19,151.715727
35.818182,42,151.934717
44.593103,35,152.122727
41.665563,23,152.236339
35.22619,45,152.469402
41.45014,42,152.689084
38.636364,42,152.910504
38.747863,46,153.150272
44.580189,34,153.333501
38.862069,32,153.492245
43.498323,30,153.641002
38.467692,46,153.878008
35.903475,57,154.173115
38.804196,30,154.328111
35.903101,38,154.514596
39.0,43,154.743207
32.657321,57,155.043378
38.5189,26,155.180769
43.847725,42,155.408411
38.269841,21,155.521069
41.162393,34,155.710812
41.259374,43,155.942687
40.968397,30,156.109766
41.09622,33,156.30625
47.201413,20,156.420637
41.393574,31,156.590972
44.255378,38,156.791626
38.508475,25,156.930801
48.0,13,157.002806
41.643216,33,157.180837
41.452471,30,157.346423
38.5053,30,157.50768
39.0,65,157.84596
44.116197,52,158.129105
-32.71,57,158.420424
34.861949,39,158.626572
44.522634,26,158.762733
-32.06,45,159.000404
41.345098,24,159.126567
44.447253,27,159.267597
44.310345,20,159.371995
35.489865,30,159.526385
41.641921,56,159.835326
41.051189,45,160.074924
44.466431,55,160.369701
38.38796,34,160.563652
41.90393,42,160.799141
35.872414,31,160.963002
47.062963,23,161.086988
39.0,68,161.45567
44.938272,16,161.543655
36.0,42,161.767843
41.753521,18,161.865498
35.115672,30,162.020809
40.374312,35,162.21001
39.0,36,162.387601
41.997481,46,162.630246
40.951968,35,162.821928
41.655172,25,162.958998
44.105455,29,163.107354
-36.74,35,163.295302
32.431907,36,163.480978
36.0,40,163.694739
35.202206,35,163.886254
41.811847,34,164.073742
32.741611,34,164.25527
35.831111,26,164.395702
39.0,21,164.493929
44.779116,29,164.637377
44.750549,33,164.814672
44.245791,18,164.916244
38.386997,35,165.114233
41.866667,38,165.326506
39.0,28,165.488122
