#{"t_start": 1750378271.4069536, "env_id": "None"}
r,l,t
44.898889,43,186.573972
40.236438,36,186.924879
38.54417,36,187.29094
35.89272,44,187.689716
44.088889,25,187.96286
32.596552,62,188.51353
37.715301,34,188.851463
32.904372,96,189.678993
43.663608,45,190.133137
47.433333,21,190.391997
-32.98,37,190.77984
40.228897,42,191.174296
44.309721,41,191.553222
32.250896,52,192.042129
-32.37,53,192.509531
44.074173,32,192.825209
41.765854,26,193.128593
45.0,30,193.436732
38.130769,27,193.737931
40.640773,49,194.201606
41.917219,42,194.607034
41.107232,36,194.962746
-40.04,73,195.600862
38.785714,34,195.965183
44.539959,42,196.404731
32.902527,44,196.815933
41.025231,38,197.187991
32.030651,59,197.693665
38.039443,36,198.057816
40.255177,46,198.504764
35.443636,166,199.926954
37.809391,40,200.353474
40.772289,37,200.745724
32.169065,82,201.435613
44.197026,24,201.707273
40.979445,36,202.073792
38.351744,34,202.403598
-40.03,51,202.850129
35.031429,47,203.306708
45.0,26,203.584422
41.498516,32,203.911667
43.882428,31,204.222674
35.768061,35,204.568031
38.372934,68,205.283226
38.415385,26,205.614615
-32.52,51,206.103544
39.501637,32,206.40882
37.466565,55,207.722635
44.658273,27,208.014022
41.546703,28,208.339901
42.458999,59,208.866096
35.740741,48,209.333829
43.406203,41,209.743793
43.102023,31,210.075918
41.460442,43,210.487683
44.023346,30,210.809448
-32.1,48,211.241043
38.16835,41,211.634882
35.58042,38,212.004231
34.740765,89,212.746999
38.203846,36,213.143366
32.680769,33,213.52127
41.181818,27,213.803718
38.15832,51,214.245088
44.932886,24,214.532265
42.436486,28,214.836749
43.807601,32,215.178311
-37.29,68,215.76007
37.975221,62,216.348779
46.599861,38,216.769846
40.590927,24,217.030212
44.007997,28,217.324667
-32.2,75,217.921076
37.428308,45,218.327343
36.0,72,218.927793
38.422535,34,219.257033
38.780669,33,219.610091
46.893807,44,220.034036
32.670455,39,220.409758
39.0,30,220.742128
37.582594,39,221.118224
35.234899,52,221.600814
43.723753,36,221.967374
41.206304,36,222.35755
35.621984,31,222.685126
35.098592,38,223.038072
35.568345,48,223.515131
43.531199,24,223.777714
37.980695,35,224.11903
-37.32,39,224.483425
41.291422,24,224.779935
40.893851,28,225.073051
46.48031,30,225.406299
41.126855,31,225.742005
37.717784,57,226.246355
-32.51,45,226.664546
40.464,36,227.027656
38.450549,53,227.55787
42.0,41,227.954854
40.745038,28,228.251641
38.419463,39,228.640102
-32.86,73,229.226176
37.794054,63,229.754432
39.0,36,230.094174
32.020202,62,230.673495
40.962272,43,231.144131
35.541485,47,231.624666
38.392701,39,232.016859
37.891221,38,232.38314
39.983477,36,232.71305
-40.27,33,233.035802
41.009479,25,233.306977
46.707288,27,233.609767
40.075543,49,234.055952
41.100873,39,234.424104
30.903346,52,234.912284
-32.31,45,235.322019
37.137113,52,235.788588
32.902098,30,236.107656
43.126617,41,236.532132
38.465464,34,236.862891
37.631097,32,237.170207
-32.36,48,237.602927
41.007286,43,238.001844
40.731777,51,238.452632
40.816271,58,238.978131
40.437941,38,239.336831
32.188192,69,239.908285
38.698182,29,240.211729
38.38904,45,240.672597
47.057143,20,240.911966
44.281588,29,241.248196
46.257532,32,241.607664
36.0,48,242.058312
38.093284,28,242.358393
-32.96,99,243.172357
40.645978,46,243.656637
43.504549,59,244.188596
-37.84,32,244.501743
41.305147,40,244.892523
-35.66,50,245.37982
40.661102,36,245.747269
36.0,42,246.163919
44.688172,29,246.471251
46.163275,45,246.885931
35.528409,46,247.324766
41.243831,33,247.673116
32.824138,37,248.066502
47.212914,32,248.408116
41.310025,27,248.684905
-32.3,43,249.08096
46.841552,40,249.485531
39.0,28,249.795168
40.973969,39,250.184981
35.09666,51,250.656241
38.829091,25,250.934377
38.050426,43,251.350261
-32.82,78,252.015295
42.0,31,252.360821
40.878585,30,252.696405
38.111644,30,253.008198
39.0,33,253.336073
41.770909,41,253.742498
35.773381,37,254.095091
45.431659,31,254.405436
37.708974,36,254.780414
38.764,44,255.209589
37.84345,31,255.517408
43.798761,30,255.848567
46.869986,25,256.12231
38.908046,41,256.527445
41.22291,31,256.851797
41.011778,33,257.175166
40.604739,34,257.51304
44.679245,23,257.766717
45.0,21,258.035657
41.503937,25,258.3139
41.364528,49,258.755922
43.699337,54,259.271944
41.011194,37,259.675123
38.618474,38,260.074154
35.939394,46,260.539945
42.0,24,260.79847
38.778243,50,261.286044
34.776533,54,261.800077
41.496344,30,262.127819
44.170455,23,262.394378
47.100746,28,262.680579
45.0,19,262.90794
40.64269,34,263.267812
33.0,32,263.580562
40.823984,40,263.975241
39.0,24,264.232666
43.371985,33,264.562058
43.812906,28,264.850275
39.0,30,265.183234
35.042969,47,265.642256
43.491439,40,266.049848
41.352273,40,266.438269
43.752505,24,266.703703
43.502448,58,267.215079
37.146213,36,268.552991
41.418552,31,268.876774
44.704545,18,269.117153
41.407942,31,269.424702
46.931438,39,269.796654
38.028395,32,270.11409
38.209302,26,270.38495
47.089036,33,270.745504
45.980384,29,271.047323
44.28882,19,271.2789
40.458933,43,271.686165
39.928817,45,272.119723
38.712598,45,272.607726
44.059283,33,272.937091
38.342282,36,273.282219
-32.48,58,273.784927
37.85226,52,274.303541
38.290102,37,274.713273
38.212454,29,275.005758
41.305373,29,275.302459
35.8,36,275.637706
41.880309,26,275.907266
40.741957,43,276.337547
46.968067,37,276.711655
41.777778,25,276.983891
-33.0,29,277.275309
35.799242,61,277.812598
37.052323,31,278.134296
44.24735,30,278.447416
-37.25,35,278.795667
43.999228,25,279.067909
43.522069,30,279.42891
47.313208,13,279.614825
-32.91,69,280.195057
42.341756,37,280.581841
38.09699,32,280.962189
35.679128,35,281.299949
46.733166,32,281.635654
43.620699,30,281.953533
43.92107,40,282.329518
38.716404,35,282.70828
37.90383,40,283.088807
-32.46,115,284.048294
37.503967,36,284.456612
-32.6,80,285.150085
33.0,47,285.566225
38.537037,52,286.06468
44.273126,34,286.393537
38.695793,32,286.729594
32.185039,67,287.312245
36.0,50,287.817139
-32.31,66,288.425026
43.173948,38,288.798269
38.101911,64,289.33444
35.429688,46,289.771155
38.831034,31,290.073619
43.804344,30,290.388102
38.382222,39,290.757719
43.787685,29,291.055998
40.396433,30,291.381444
41.371747,22,291.643821
41.478916,41,292.025014
41.264706,35,292.371405
40.969545,42,292.807363
42.0,40,293.215107
36.0,30,293.524994
35.706897,40,293.902524
35.633718,35,294.253728
44.014259,44,294.690483
-32.37,38,295.064941
41.139495,52,295.538599
-32.47,66,296.153821
32.114943,105,297.101354
40.912207,36,297.486818
44.278736,39,297.928642
37.541092,57,298.42126
38.956522,36,298.764335
41.559846,18,298.99316
37.99827,34,299.32057
37.961702,43,299.730652
35.095238,83,300.405287
41.785455,25,300.673865
-32.38,47,301.094526
39.85952,41,301.552925
35.123016,37,301.903116
31.0,41,302.305053
44.302521,25,302.576309
38.387382,35,302.91679
35.152098,49,303.398672
38.046497,41,303.776875
38.144487,47,304.215411
44.323734,31,304.556861
44.350436,27,304.863828
44.716535,41,305.267406
35.360248,52,305.728648
43.841255,55,306.248237
-32.09,43,306.782804
39.0,30,307.109745
46.73685,30,307.423902
38.017682,33,307.753705
38.374532,27,308.057714
32.50365,44,308.457769
38.039683,34,308.804655
38.878049,49,309.260302
-35.72,53,309.795561
41.054093,40,310.218235
44.321678,21,310.46024
46.65382,20,310.698731
40.605442,23,310.94349
41.839552,38,311.323115
36.0,38,311.744442
43.871859,35,312.08726
46.793575,37,312.470712
44.174692,24,312.75958
40.891569,28,313.059024
39.0,54,313.551876
38.530806,34,313.895653
39.0,61,314.437246
38.245353,28,314.79121
-32.93,100,315.668066
35.503856,48,316.106638
32.138211,64,316.681173
43.703756,35,317.051488
35.223437,52,317.531092
44.196736,26,317.821138
43.549864,23,318.114031
41.839858,22,318.388545
39.0,29,318.69554
44.548822,33,319.020771
37.982778,44,319.43067
40.917591,33,319.751981
47.876923,23,320.032727
41.075537,34,320.384744
47.781457,18,320.598447
44.445736,39,320.967426
41.443037,33,321.292603
35.708609,38,321.647914
38.105085,20,321.930608
33.0,50,322.382155
44.335907,38,322.764068
44.003709,38,323.146213
45.0,24,323.442505
44.084871,37,323.798687
41.858736,32,324.130777
43.374064,24,324.396724
35.631944,41,324.857641
38.463235,26,325.19441
32.113497,44,325.639
41.63806,32,326.045528
38.878229,45,326.505666
47.742931,27,326.820681
41.285714,47,327.247206
36.0,34,327.611818
32.651064,39,328.025754
35.367003,32,328.348237
38.344828,47,328.805842
-32.94,74,329.470614
38.65625,48,329.922163
41.395466,20,330.159806
43.537006,41,330.547706
43.83658,32,330.867138
44.768044,17,331.079776
38.387833,33,331.438335
39.199717,65,332.016305
40.792708,34,332.375452
-32.9,76,333.073185
38.729362,40,333.487654
38.673004,29,333.823987
38.029577,38,334.216651
-35.76,73,335.055028
35.877256,89,335.997193
43.783544,24,336.279031
37.618896,43,336.663779
47.806452,33,337.020862
37.991117,61,337.586509
47.522034,22,337.84175
35.40613,39,338.237179
-33.0,78,338.918724
44.61324,42,339.322808
38.283636,31,339.653601
35.846626,33,340.024877
46.607937,37,340.374349
40.748304,46,340.833144
37.644654,69,341.438598
35.236948,48,341.948714
42.0,33,342.303634
-34.95,54,342.890023
39.0,47,344.557631
38.589958,40,344.958691
41.120908,29,345.278018
41.809353,37,345.642087
43.847717,38,346.014054
37.824197,98,346.836159
35.694853,59,347.366759
36.0,40,347.786338
32.081081,59,348.419812
42.951151,41,348.846968
41.843206,29,349.168364
-32.83,75,349.821725
35.733333,47,350.289909
45.0,25,350.610923
41.616279,40,351.043898
41.499662,54,351.548812
38.559184,31,351.893938
38.900641,34,352.255946
36.0,26,352.561895
40.998705,42,353.037235
43.53294,41,353.500064
35.424749,36,353.919005
44.139942,24,354.223007
-35.66,48,354.648471
38.011278,32,354.976777
-32.04,46,355.443591
42.0,23,355.707712
37.548633,61,356.32276
36.0,32,356.679034
35.493377,41,357.113348
44.115756,15,357.315019
41.75,39,357.697181
38.014286,27,358.008992
46.858298,35,358.363727
-35.9,122,359.388119
39.0,31,359.701208
41.553483,45,360.12002
43.850796,26,360.408373
45.743106,27,360.711433
36.0,29,361.02996
32.70696,51,361.509653
38.645283,27,361.798855
41.915709,21,362.038597
39.0,34,362.379607
47.039783,20,362.608629
42.0,31,362.935608
44.108014,27,363.260554
38.263614,33,363.605848
41.267717,41,364.020002
32.964286,50,364.513384
35.609589,34,364.873577
35.641026,35,365.237273
39.0,29,365.533746
41.857143,33,365.931034
38.148953,33,366.288877
42.0,26,366.604663
41.030043,40,367.055396
38.174216,28,367.42388
35.156824,31,367.773711
41.827715,25,368.048747
41.373333,31,368.459804
41.118323,33,368.804991
44.860902,29,369.118795
36.0,32,369.464165
45.387493,23,369.720803
39.863437,45,370.171808
41.700935,28,370.497209
41.671815,29,370.848933
35.290592,60,371.438194
38.738095,38,371.893081
44.205057,21,372.184175
41.943182,27,372.523701
38.893238,62,373.131538
40.699588,30,373.486524
46.864246,22,373.743073
40.156663,66,374.448403
41.465523,22,374.701731
36.0,33,375.034127
32.777778,37,375.42466
42.0,31,375.785534
40.262831,31,376.100034
32.626667,53,376.596777
38.400758,48,377.042994
-32.12,52,377.544055
41.940767,31,377.879617
38.753555,30,378.197032
44.157303,31,378.52966
41.730014,28,378.842671
40.56358,30,379.156697
38.748276,41,379.571985
38.072243,28,379.861579
38.802575,30,380.192234
44.862901,34,380.551187
41.087575,50,381.027688
-32.34,50,381.585069
42.952993,46,382.056632
-33.0,66,382.612126
39.0,34,382.9516
32.759398,39,383.398097
-32.49,36,383.758874
35.680297,32,384.093951
40.67995,42,384.522656
35.372203,46,384.96186
35.954386,35,385.334865
38.44902,61,386.035671
35.761092,45,386.48029
45.0,22,386.736236
-33.0,125,387.841823
-32.91,46,388.286534
35.211921,27,388.572068
37.757505,34,388.998053
-32.06,37,389.413153
40.487422,54,389.916905
44.613861,22,390.183642
44.120755,21,390.449467
44.938849,29,390.763165
-30.0,74,391.459164
32.302703,55,392.061577
41.645533,24,392.370662
40.782404,29,392.681744
44.472376,18,392.909305
35.833333,46,393.342875
40.409976,43,393.772915
35.694245,45,394.207284
41.608392,34,394.553802
41.114943,44,394.962445
44.692308,28,395.251441
35.197917,30,395.551654
34.277584,51,396.010025
40.935747,34,396.379081
38.836134,37,396.71188
41.723333,28,396.988898
48.0,34,397.301536
39.0,31,397.57505
47.655052,18,397.767569
35.787072,50,398.176683
42.0,30,398.470811
41.443299,29,398.724323
47.357977,20,398.946979
38.134921,40,399.276469
38.824503,26,399.538007
44.585366,27,399.826149
43.421752,68,400.339246
39.0,27,400.593228
41.862069,25,400.83597
39.0,37,401.152597
-33.0,60,401.621642
40.991962,28,401.88316
38.714789,31,402.151159
39.0,31,402.422283
38.98062,24,402.651389
41.730216,31,402.92948
38.326458,55,403.443658
38.045627,38,403.788735
38.830258,31,404.068248
38.186158,30,404.3404
39.0,31,404.6244
42.0,43,404.985907
37.759596,54,405.436208
38.301818,27,405.684973
41.032407,26,405.943477
44.172285,31,406.249997
35.86645,37,406.631094
38.190661,76,407.350277
38.311688,51,407.796792
41.9,33,408.122392
38.937984,34,408.462472
40.477672,31,408.796224
47.35102,23,409.102586
44.092199,31,409.478301
39.0,40,409.865246
40.711962,31,410.220525
38.579439,43,410.636894
43.599306,50,411.094877
47.614232,28,411.389169
47.12,23,411.638661
42.985201,38,412.029692
43.665786,39,412.372205
37.623997,58,412.849715
38.430189,46,413.243172
41.003731,40,413.625103
38.568773,30,413.905899
38.468635,28,414.19521
32.562914,39,414.557713
43.154353,36,414.951173
40.852983,39,415.31772
39.0,26,415.610667
32.443548,53,416.105844
47.055351,27,416.394255
35.214008,54,416.88137
44.51023,26,417.150701
38.255605,42,417.530428
47.176056,28,417.820187
35.287037,47,418.232496
41.316181,33,418.554517
45.0,16,418.787346
35.289157,33,419.113777
41.817352,23,419.373796
35.88716,36,419.722621
-32.7,93,420.524813
37.99409,35,420.885194
32.32197,39,421.252908
41.320988,32,421.561391
44.572414,34,421.879649
38.622047,38,422.221848
44.039155,32,422.5326
41.344494,28,422.859419
32.866667,32,423.183691
41.020408,34,423.530828
38.243402,22,423.775713
43.954233,23,424.028245
43.741315,26,424.332262
43.580911,40,424.708068
44.075862,36,425.206143
40.531103,48,425.653852
35.226667,38,426.050752
41.082789,33,426.378699
44.699029,30,426.690754
39.0,33,427.028043
41.815854,50,427.477651
