#{"t_start": 1751993983.4978962, "env_id": "None"}
r,l,t
38.731343,54,120.238532
-32.77,63,120.511945
43.447089,20,120.603215
38.000987,48,120.83357
35.37963,51,121.684378
32.444015,42,121.835995
-32.6,73,122.182854
37.906308,31,122.323219
40.978957,38,122.505481
36.0,39,122.704643
-32.72,58,122.971046
44.763052,20,123.070009
35.896667,32,123.225855
37.919991,24,123.337529
35.389049,40,123.532324
35.771318,38,123.717854
47.112782,25,123.833628
41.90393,33,123.988046
-32.67,56,124.244564
37.955231,40,124.422562
38.823741,44,124.655047
38.036341,33,124.82101
43.629288,27,124.954624
40.73326,39,125.160632
35.903614,67,125.489886
-38.55,64,125.796185
-34.79,51,126.012242
40.442765,62,126.303059
42.318093,37,126.471663
41.05178,33,126.629433
-35.73,63,126.953251
-33.0,94,127.449865
-35.39,33,127.605206
34.401265,53,127.877084
35.906716,29,128.044138
33.0,55,128.281231
45.682436,48,128.515146
41.825455,36,128.689069
-34.63,56,128.957572
38.032739,33,129.112708
44.467423,46,129.326899
32.454849,77,129.671652
37.333773,54,129.927531
44.319818,26,130.044024
44.011079,39,130.225993
44.300971,24,130.333956
41.557632,41,130.527165
35.290893,58,130.803986
44.047426,35,130.965934
46.697016,46,131.182916
40.212192,34,131.356246
-34.63,59,132.212724
37.926368,38,132.385005
-32.35,41,132.55998
-32.71,44,133.776313
44.022471,30,133.928197
-33.0,56,134.196491
38.897887,36,134.338285
40.933375,90,134.772068
32.233813,54,135.041259
41.659768,24,135.154584
-35.59,71,135.47471
41.070169,46,135.697511
-35.24,55,135.995909
33.0,39,136.197967
32.883886,54,136.450174
35.255599,55,136.703381
43.173015,95,137.191805
-32.39,69,137.530275
41.538136,34,137.687459
40.066145,55,137.976751
44.163265,63,138.284885
44.351701,43,138.490672
33.0,52,138.727051
43.432795,46,138.96028
37.691289,46,139.179908
33.0,49,139.429554
38.833333,32,139.584864
34.907683,57,139.897228
33.0,139,140.556938
-32.27,40,140.770296
40.588942,46,141.007619
41.575251,34,141.161142
38.598513,26,141.300083
-32.41,60,141.604096
32.071174,72,141.984702
33.0,64,142.315146
38.389892,45,142.527512
39.0,106,143.70888
43.300803,29,143.839252
32.503311,55,144.143795
42.239528,46,144.384334
38.554217,34,144.585938
46.942069,28,144.734057
41.129242,29,144.862674
35.578358,97,145.349815
46.452749,19,145.449079
38.345763,40,145.64599
-32.84,82,146.069512
-37.68,30,146.22845
36.0,32,146.391064
43.282536,45,146.611573
-32.8,50,146.859751
40.581059,49,147.116354
32.673228,84,147.540615
43.390533,25,147.669656
-32.33,39,147.856737
43.378542,45,148.077843
35.88535,95,148.570426
35.155912,58,148.818928
34.893612,117,149.383215
42.462464,47,149.595481
41.054943,33,149.751645
38.486408,57,150.015409
42.446594,34,150.187926
47.164253,21,150.298198
34.91675,87,150.705621
41.254861,27,150.85365
43.744857,53,151.115528
32.637011,63,151.428442
33.0,54,151.70563
38.902098,53,151.973456
38.778816,51,152.235257
43.01513,42,152.437773
43.761232,30,152.592042
-35.11,69,152.952807
47.681672,32,153.120689
-32.18,74,153.469942
38.338129,35,153.651505
37.553878,63,154.588013
43.835117,28,154.70035
-35.62,39,154.891406
34.945557,61,155.181921
35.554245,43,155.387051
35.688889,115,155.951433
37.087346,70,156.295088
41.260563,37,156.477246
-32.19,48,156.713923
34.740366,61,156.989572
42.0,32,157.147948
38.117424,30,157.293374
-40.62,50,157.528129
32.472441,66,157.850072
36.0,44,158.058613
37.802124,57,158.323852
33.0,42,158.515837
41.694302,23,158.628598
41.509317,29,158.776364
32.413194,53,159.046936
32.301325,41,159.275628
41.221765,40,159.482286
40.681,32,159.629412
-37.6,60,159.94062
37.570242,54,160.201656
40.643305,43,160.410783
38.680851,48,160.641387
41.254832,43,160.864455
38.103728,41,161.057406
39.0,46,161.281701
37.013469,45,161.516948
41.137072,23,161.631144
35.100806,45,161.861768
39.976796,38,162.046406
38.774468,34,162.20205
-37.49,35,162.370899
-32.71,45,162.597762
41.472973,33,162.761146
35.10626,35,162.932406
35.698885,39,163.118215
-32.78,46,163.330216
-32.13,91,163.73305
47.200382,25,163.861349
35.171429,42,164.075695
35.126459,46,164.31501
44.173346,39,165.138106
32.75817,57,165.399722
38.419463,35,165.5615
35.461818,42,165.744725
-37.36,23,165.85241
41.255877,46,166.084023
43.682475,29,166.23121
41.382223,38,166.416557
35.528455,44,166.614447
40.169216,46,166.832963
32.203448,66,167.143078
40.749867,23,167.256199
41.64794,38,167.434147
44.228568,35,167.623098
32.87218,40,169.113789
40.646961,29,169.271061
32.22252,45,169.455298
40.911203,40,169.646337
43.558668,31,169.79913
32.719626,46,170.01598
-32.42,65,170.330902
35.004359,50,170.585153
38.309028,42,170.797109
38.303846,55,171.068284
41.270903,24,171.187905
33.0,114,171.72974
43.820492,30,171.875366
41.562445,34,172.025365
32.252874,84,172.410953
46.857188,16,172.487162
32.684874,102,172.939668
41.510522,58,173.206027
40.756735,46,173.414755
38.560377,48,173.637082
-32.1,62,173.922837
-32.07,71,174.236639
38.909091,51,174.457343
39.732616,55,174.738258
-32.28,48,174.982071
40.941915,38,175.175617
-32.21,35,175.352773
46.234618,42,175.568689
37.836752,58,175.839597
39.0,36,176.000459
34.996857,38,176.805011
43.33258,46,177.030459
-35.25,85,177.481895
-34.82,43,177.694564
35.147727,63,177.980676
33.0,43,178.181443
42.757086,49,178.406994
40.553397,41,178.599999
32.474576,77,178.974316
-32.34,51,179.230613
43.863058,24,179.349435
41.231441,30,179.501786
39.0,40,179.698084
32.241379,44,179.93011
39.0,34,180.077356
40.582734,41,180.2912
40.465013,40,180.478765
41.768889,26,180.616576
32.966102,101,181.093232
38.227642,27,181.228981
41.16463,65,181.578966
-32.36,83,182.021528
-32.62,67,182.347129
35.510204,46,182.565676
35.099057,47,182.777766
35.344214,40,182.976498
39.0,60,183.262082
35.940397,63,183.563208
-35.55,57,183.825262
32.27234,83,184.240828
44.782209,49,184.473633
35.3829,43,184.681372
40.592908,40,184.881685
38.55814,44,185.091525
44.286667,60,185.373884
-32.87,52,185.629665
-33.0,82,186.041556
42.0,41,186.244131
38.582814,29,186.37784
36.0,29,186.50688
37.796303,42,186.717595
44.740214,44,187.552557
35.708333,41,187.744217
43.364894,63,188.033782
32.235915,82,188.417999
38.228571,29,188.55723
38.584838,50,188.794827
37.868116,31,188.947379
-32.62,59,189.189613
35.865546,66,189.507241
-32.68,61,189.807803
40.248932,45,190.014194
32.383562,103,190.491467
44.741208,43,190.695022
38.580392,22,190.803654
38.577549,41,190.996036
40.540055,26,191.112927
35.292254,43,191.333748
36.0,29,191.477002
34.455285,43,191.670823
38.008161,43,191.896247
43.88241,58,192.154561
38.425926,40,192.32775
33.0,36,192.489423
38.65566,31,192.63225
40.182813,31,192.77769
39.0,38,192.967111
46.371503,44,193.179061
-40.35,52,193.448325
41.035097,44,193.679722
-33.0,55,193.95516
45.0,33,194.121079
-32.39,98,194.650997
40.395254,34,194.825987
38.043503,40,195.022052
-32.28,42,195.235513
41.602649,27,195.369812
41.265922,31,195.528502
32.319865,54,195.791751
44.039977,32,195.941963
41.704918,37,196.13006
43.96063,25,196.254605
-34.98,105,196.768876
37.824666,32,196.914399
-40.01,53,197.165954
35.660448,53,198.072389
42.0,41,198.285923
38.442773,49,198.529691
43.480303,49,198.766326
38.787671,39,198.95971
37.468055,46,199.198522
40.88553,32,199.341148
-35.6,54,199.625475
38.756364,52,199.887842
39.849974,56,200.179928
35.495833,41,200.384117
35.45553,35,200.570451
-35.79,35,200.759454
42.0,25,200.891821
41.170807,43,201.112895
38.791165,27,201.250623
41.125712,37,201.424793
38.24498,36,201.608558
47.871212,14,201.67712
38.1417,48,201.917117
41.315491,39,202.115487
41.167705,75,202.531271
38.804878,52,202.782227
45.549871,30,202.929694
32.804878,42,203.141254
41.171828,32,203.301808
47.294979,33,203.468491
-42.76,49,203.732997
32.953333,49,203.958688
32.454545,80,204.381469
44.26662,30,204.529894
32.752896,42,204.730087
32.861004,28,204.870267
44.357071,28,205.027449
-35.72,50,205.3112
43.832395,46,205.521228
43.62207,38,205.710486
38.312741,38,205.891891
41.562701,38,206.096883
41.79918,31,206.255991
41.102564,37,206.446952
43.142629,45,206.652558
38.162745,126,207.286715
44.101512,47,207.539892
-32.12,70,207.901368
38.171039,53,208.186413
37.454257,47,209.021349
-35.2,72,209.411614
32.916409,41,209.601105
39.0,37,209.768378
44.024768,21,209.87711
41.637931,22,209.989439
-32.39,54,210.282991
38.875,51,210.531267
41.458042,25,210.652228
44.386943,38,210.837448
45.0,35,210.997366
32.021127,43,211.200476
41.607774,50,211.438193
39.86088,63,213.383686
37.218656,28,213.525629
43.314863,37,213.70296
32.464286,74,214.060595
-33.0,48,214.296903
36.0,42,214.510194
47.146291,25,214.621067
32.304348,67,214.920306
38.140277,34,215.094192
41.084691,34,215.282108
35.807087,50,215.537
35.796667,88,215.965797
38.558824,37,216.138655
40.941778,40,216.3367
41.318021,40,216.532419
38.343173,40,216.726228
46.874674,42,216.918264
38.142384,40,217.110564
35.244582,36,217.286177
35.137809,31,217.423091
32.41349,80,217.79211
41.812734,34,217.947938
41.391635,39,218.128479
47.15,20,218.229386
41.512894,34,218.384876
35.102126,70,218.70654
32.506944,88,219.139566
44.054945,18,219.230145
38.048583,53,219.471159
43.746185,25,219.589814
47.512915,24,219.715166
38.214545,57,219.994278
38.21118,70,220.346512
36.0,34,221.156372
38.602941,43,221.330726
32.940741,38,221.514935
41.738095,41,221.714593
38.79375,30,221.855241
42.0,22,221.952544
44.21478,34,222.11481
44.428571,46,222.351794
46.898688,54,222.62061
44.3125,21,222.727371
-32.38,61,223.04105
35.456167,43,223.240919
42.0,27,223.385098
-32.16,53,223.664681
35.353846,40,223.855566
37.700102,54,224.084065
-33.0,80,224.485949
41.655828,36,224.677743
32.780105,68,225.029065
44.392388,33,225.188875
40.675414,36,225.3657
41.422442,30,225.522874
-32.97,67,225.854556
38.910682,36,226.022548
41.836639,41,226.229202
-36.93,54,226.476642
38.522581,27,226.597171
41.807122,47,226.814032
-32.4,67,227.16928
47.370787,41,227.384213
41.019157,36,227.566263
-32.88,47,227.788099
38.733333,39,227.968673
43.933109,51,228.210469
41.709302,39,228.388053
32.715134,60,228.721873
41.60762,50,228.965302
43.911801,42,229.167612
41.277419,28,229.296181
45.0,23,229.41142
36.0,44,229.623536
46.397095,50,229.860604
41.371528,38,230.040617
42.0,24,230.153682
41.590778,33,230.31311
44.114471,38,230.476991
32.413793,35,230.634641
44.18797,38,230.815188
43.306933,33,230.980781
35.244713,31,231.744278
39.0,45,231.945143
43.435302,27,232.083076
41.079848,88,232.4843
-32.84,97,232.902303
41.263061,33,233.063348
-32.63,70,233.399223
-32.41,44,233.602981
44.163498,41,233.798875
33.0,47,234.030276
41.704736,49,234.27632
41.827309,24,234.37893
-36.7,41,234.576958
43.110149,41,234.753122
39.802001,44,234.952117
41.818533,32,235.105264
43.480636,74,235.449821
46.868129,27,235.588439
44.116041,37,235.79585
33.0,46,236.015572
32.820163,100,236.488612
44.690476,77,236.833795
41.507886,28,236.955961
38.560748,46,237.189638
-32.4,32,237.344431
38.754717,47,237.559746
38.528777,43,237.766315
38.530686,54,238.031945
37.86386,28,238.169442
35.464481,42,238.380034
45.0,33,238.541535
43.592797,30,238.712491
37.637273,48,238.950262
41.040637,37,239.146559
33.0,43,239.344368
41.235703,42,239.540887
41.706342,35,239.715831
32.802239,36,239.895957
39.0,52,240.141061
39.317242,52,240.391811
38.38674,54,240.675791
44.606828,39,240.871343
35.846743,45,241.081388
-33.0,104,242.211696
35.304878,58,242.454578
32.225191,84,242.866133
38.766323,42,243.055167
35.842886,58,243.329235
41.052882,32,243.485178
35.233607,30,243.626607
38.429078,39,243.820511
33.0,70,244.192465
41.379779,39,244.397904
43.721293,25,244.535469
36.0,37,244.705241
43.748666,29,244.846993
35.5,51,245.070491
34.840036,43,245.265593
32.604167,91,245.683076
32.29918,47,245.902537
42.0,38,246.093256
47.15493,31,246.236996
36.0,58,246.524736
32.812,42,246.716423
39.0,35,246.88482
38.9,39,247.059005
44.32866,42,247.25038
-35.11,41,247.454577
38.717647,31,247.596929
43.756779,29,247.734001
34.676044,51,247.964501
39.0,25,248.080263
41.291946,42,248.286873
41.604317,34,248.447395
41.375,55,248.701468
41.805755,24,248.817212
38.114583,42,249.020658
36.0,48,249.239919
41.115741,36,249.402483
46.926812,28,249.546884
42.822814,45,249.765041
42.0,26,249.894982
35.809353,32,250.060192
35.853282,34,250.237717
44.027319,26,250.384929
43.611878,35,250.559393
39.0,40,250.751864
39.0,41,250.94366
35.762557,37,251.121078
41.026706,27,251.240398
38.660377,26,251.363018
35.995951,79,251.741425
46.287173,40,251.941637
32.5375,57,252.85379
40.961017,43,253.072309
35.672474,29,253.204558
32.718412,33,253.35433
41.654362,24,253.464417
-32.14,41,253.663741
34.793861,57,253.93979
42.0,26,254.06076
35.5,54,254.312258
47.927481,19,254.402929
43.218845,56,254.6992
37.867153,58,254.987788
38.81749,36,255.160115
38.7,34,255.317285
-32.74,44,255.517922
32.259259,81,255.930511
45.0,34,256.104107
37.886701,82,256.503012
47.374486,22,256.613781
41.068612,80,256.990812
44.381824,30,257.138093
32.836538,38,257.312195
41.420849,35,257.481903
41.902344,35,257.654419
35.261745,40,257.837816
37.563624,39,258.014675
38.728302,31,258.156762
37.555158,61,258.438496
40.544476,29,258.574143
38.736626,53,258.82537
38.380753,34,258.976481
41.876543,24,259.087142
35.899281,39,259.26864
39.0,40,259.473242
-32.37,84,259.860839
38.184615,45,260.084597
41.875458,41,260.285142
38.006431,40,260.4619
41.328195,60,260.778943
-32.37,67,261.099184
33.0,53,261.392142
35.638686,39,261.570742
41.149635,27,261.677061
37.455655,45,261.905585
47.359684,44,262.141459
38.688213,29,262.290327
44.105972,33,262.475072
44.326923,23,263.194232
37.368244,47,263.374472
38.323029,39,263.57009
41.046033,52,263.82599
35.693141,53,264.088146
35.626712,35,264.250303
-32.01,64,264.562887
39.0,24,264.67665
38.584273,51,264.93088
44.11194,30,265.083714
32.576923,48,265.312664
41.12613,39,265.525429
38.424354,68,267.751587
43.567734,33,267.911025
40.918919,49,268.13599
46.60104,27,268.281591
38.093168,56,268.574769
44.756677,24,268.702626
39.0,29,268.851432
41.702498,60,269.137066
35.887417,48,269.368759
32.646586,68,269.706553
44.9,54,269.970896
38.001007,39,270.180041
-41.34,30,270.327566
38.08513,78,270.682457
47.856643,31,270.83414
-35.32,73,271.185931
41.016287,41,271.382506
-37.18,45,271.596707
41.217902,31,271.749764
39.0,28,271.879586
44.946043,53,272.127162
38.017453,40,272.33075
41.178716,48,272.565156
35.019839,29,272.702594
40.574233,36,272.885519
43.03267,47,273.121311
35.481928,44,273.33925
32.453441,41,273.53633
-32.04,38,273.717012
44.65051,29,273.857355
40.993062,41,274.067733
41.180122,29,274.176176
-37.78,34,274.331642
35.211656,47,274.555473
35.902527,32,274.722055
-32.36,54,275.620787
38.45216,43,275.817646
47.688136,29,275.98496
37.807589,37,276.177677
32.016077,45,276.400102
40.896162,52,276.679347
45.0,17,276.755955
35.619537,23,276.870463
41.544747,28,277.013462
36.0,61,277.322366
44.153285,38,277.50053
35.133333,54,277.763085
38.06383,68,278.102484
43.778169,64,278.417418
41.82866,28,278.553801
-32.26,75,278.88839
37.927632,26,279.019046
38.102356,74,279.396082
47.1,20,279.492629
38.477444,48,279.724483
38.283019,31,279.873863
38.651341,40,280.069192
44.705085,22,280.1768
41.110294,33,280.335474
38.435252,51,280.594169
44.064858,24,280.706472
38.348045,36,280.864091
40.345708,30,281.008693
41.178679,40,281.20795
40.346484,33,281.360641
44.300979,36,281.540815
32.93254,59,281.848797
47.2946,37,282.026914
39.0,55,282.272608
35.478417,49,282.498656
38.843373,44,282.704377
39.0,67,283.01341
-32.57,141,283.723392
38.594891,38,283.918549
39.0,35,284.090326
38.08,36,284.268866
39.0,48,284.505425
38.207447,36,284.685884
-34.93,59,284.980148
-36.7,51,285.224393
38.938389,38,285.402797
47.638122,43,285.639502
41.500941,37,286.431221
41.613927,32,286.582885
44.245943,30,286.720689
45.0,22,286.848348
32.805556,57,287.115184
37.768243,33,287.297891
43.064091,51,287.558756
41.189441,37,287.728354
41.147573,31,287.883216
39.0,33,288.036598
36.0,41,288.237591
41.90411,32,288.396205
35.753191,43,288.605123
38.029851,51,288.844959
42.0,38,289.02482
35.901408,37,289.205531
35.595506,57,289.444185
38.457546,39,289.633861
-34.48,50,289.868891
47.773946,35,290.031351
40.950232,29,290.163392
38.705085,51,290.412126
-35.06,101,290.888676
41.093284,30,291.030938
46.916154,44,291.227073
43.704075,26,291.352391
42.0,37,291.529114
35.165957,42,291.728439
37.504712,54,291.991022
41.400568,61,292.288815
37.524646,41,292.486225
-32.36,44,292.691468
44.035462,55,292.945122
40.704106,30,293.085171
-37.11,34,293.236184
44.363331,28,293.369864
39.0,30,293.504654
41.140288,33,293.658735
35.357143,61,293.958336
33.0,34,294.117858
45.0,29,294.268158
44.160584,35,294.432737
47.827068,26,294.560767
41.204102,50,294.797559
-32.22,78,295.171722
38.094276,43,295.363632
-32.35,71,295.72569
41.733333,31,295.877061
39.0,44,296.742968
43.677017,37,296.880988
-34.33,60,297.172774
32.258278,53,297.402135
38.100746,32,297.564942
38.740299,66,297.873445
44.336965,43,298.073064
40.77878,44,298.294637
35.993127,69,298.623311
47.563574,22,298.730998
42.0,19,298.823594
-34.53,74,299.169412
38.378627,54,299.411325
