#{"t_start": 1751997495.6146967, "env_id": "None"}
r,l,t
35.335714,38,83.945607
36.0,26,84.074274
-32.38,51,84.332061
-44.58,49,84.571478
32.657343,51,84.812198
-36.0,40,84.995596
-38.32,23,85.106342
-41.88,21,85.218736
-35.02,44,85.41463
-38.9,21,85.513561
32.330612,33,85.64869
-38.29,28,85.77618
-35.62,21,85.87614
39.0,36,86.040238
-35.72,26,86.16568
32.90106,38,86.347519
-35.43,30,86.48348
-39.0,31,86.619428
-40.12,32,86.758789
-38.78,57,87.012626
-38.45,27,87.139245
32.170732,46,87.357335
-38.89,32,87.500824
35.286174,44,87.688251
35.269481,38,87.86494
-35.6,39,88.042862
-32.33,36,88.216117
38.008728,56,88.467274
-41.82,30,88.610856
-38.67,24,88.722873
-40.25,29,88.856045
-32.94,29,88.987637
-32.21,32,89.142965
-39.0,31,89.296042
-41.16,22,89.408074
-41.12,119,90.54454
-38.52,31,90.699754
-44.99,26,90.825709
-35.54,27,90.962409
38.715447,27,91.096324
33.0,57,91.382363
-39.0,26,91.511656
-41.22,29,91.653967
38.390501,21,91.756703
32.007712,26,91.871343
37.544378,26,92.023623
35.018281,51,92.281479
-32.67,48,92.513483
-38.13,34,92.669837
-32.95,31,92.815871
41.274101,26,92.941016
-35.66,25,93.05784
-35.66,30,93.188937
-36.0,30,93.334121
-38.93,30,93.480659
-41.38,72,94.480273
-41.14,34,94.645067
-38.88,26,94.770325
38.052045,20,94.86811
35.87594,26,94.997328
35.108303,28,95.125
-36.0,42,95.324899
-41.34,24,95.451445
-36.0,27,95.576965
-36.0,42,95.779137
-38.11,25,95.890284
39.0,40,96.082994
-36.0,36,96.257045
35.132075,39,96.448112
-32.88,30,96.597148
-35.18,42,96.800465
-32.89,24,96.925368
32.620047,34,97.089674
36.0,40,97.283325
-38.81,41,97.494053
-32.91,34,97.67766
-32.19,42,97.8754
-35.22,31,98.035272
35.24359,47,98.267942
-35.12,39,98.457176
-41.81,28,98.587706
38.099818,44,98.80564
-41.56,44,99.02278
-32.91,54,99.291387
-41.15,35,99.466777
-41.17,25,99.592125
-38.62,31,99.742947
-36.0,24,99.857977
34.661555,40,100.030367
-38.42,37,100.205001
-44.27,24,100.313631
-35.0,35,100.489872
-41.1,28,100.621776
-33.0,28,100.749116
-32.72,30,100.891051
35.993377,48,101.755033
-42.0,31,101.920211
32.058036,28,102.04609
-35.6,42,102.249635
-35.78,49,102.48238
-38.88,26,102.601725
-38.63,25,102.730129
-41.29,31,102.87852
-35.57,32,103.034549
-35.69,28,103.165789
37.746091,36,103.369352
34.198553,47,103.611789
-40.96,36,103.807345
35.503676,34,103.976282
-39.0,19,104.07041
-35.84,36,104.244371
-38.7,32,104.412645
-43.86,36,104.574517
-38.43,33,104.745619
32.901235,36,104.92682
-39.0,140,105.614861
-35.21,28,105.757995
-35.92,42,105.963927
-35.66,34,106.128207
-32.67,33,106.284528
-35.52,34,106.429104
33.0,39,106.625808
-42.0,31,106.778181
38.063271,41,106.976965
-32.43,71,107.320773
-41.75,23,107.436182
32.913462,53,107.677423
-35.26,41,107.865085
-38.41,46,108.089713
-35.26,25,108.206878
-35.59,33,108.361546
-35.82,24,108.475922
-38.79,29,108.616476
-35.91,71,108.933077
-42.0,35,109.094051
-32.82,62,109.383344
-38.11,28,109.517266
35.898413,29,109.657199
32.921233,28,109.787634
-41.72,30,109.934669
33.0,39,110.112984
35.002907,29,110.232864
32.235556,48,110.447798
-38.03,30,110.57799
35.432432,33,110.715215
32.824903,31,110.833718
-35.85,29,110.966348
-32.82,35,111.136095
35.570397,43,111.352618
40.727449,24,112.133874
32.902878,34,112.248932
-35.27,23,112.345382
-38.29,33,112.492276
-35.47,40,112.679967
34.890429,29,112.812901
-32.09,36,112.963362
-32.96,33,113.120102
-41.74,32,113.269166
-36.0,32,113.408457
32.870722,28,113.508317
-36.0,45,113.698074
-44.73,33,113.853629
-35.3,27,113.974577
-32.66,40,114.145119
-38.44,29,114.277629
-35.23,37,114.432896
-35.42,29,114.567224
35.166926,82,114.994773
-35.52,31,115.141609
-32.67,57,115.396641
-38.83,31,115.539308
38.217054,28,115.663888
-32.08,46,115.877584
-34.02,25,115.994237
-32.95,30,116.132938
-38.64,29,116.27229
-41.03,26,116.393907
38.793706,31,116.528363
-36.0,33,116.689745
36.0,56,116.950378
-44.11,36,117.131945
38.936567,37,117.336522
35.7393,34,117.484254
-42.0,20,117.582444
-32.03,38,117.769894
-36.0,34,117.920997
-38.22,43,118.134391
32.723549,104,118.635056
35.097473,34,119.652073
-38.39,48,119.898895
-32.16,30,120.046305
-35.37,28,120.189881
-35.69,28,120.33452
-38.24,26,120.446663
-35.79,41,120.605622
32.151703,53,120.844131
-41.71,40,120.998711
-35.58,28,121.102014
-35.65,37,121.262149
-41.61,21,121.358107
-43.84,36,121.515239
-41.81,28,121.652921
-33.0,37,121.798779
-41.42,38,121.979459
-35.81,36,122.167447
-41.69,32,123.053306
41.385168,28,123.127973
38.144172,27,123.254962
32.419214,42,123.450717
-44.03,54,123.714451
-32.49,76,124.077389
-35.16,34,124.234759
-35.64,32,124.398879
-32.6,120,124.999423
-32.6,34,125.155208
37.662558,21,125.267537
32.351779,34,125.433401
32.049261,41,125.631933
-42.0,23,125.746897
-32.12,43,125.94001
32.035714,60,126.224272
-41.8,30,126.366789
-36.0,27,126.488835
-32.74,46,126.691714
-44.74,24,126.805731
32.461864,22,126.913911
38.424125,37,127.0928
-32.96,40,127.276972
32.426667,86,127.659323
-32.5,25,127.775007
-41.69,19,127.848539
35.112179,31,127.974642
32.60076,63,128.268062
-41.36,33,128.430337
-32.5,38,128.606281
-41.82,21,128.701786
38.318191,23,128.802428
-38.66,33,128.948971
-36.0,33,129.096488
32.168033,29,129.220729
-41.94,32,129.367724
35.633431,33,129.524371
-38.28,26,129.647646
-44.67,29,129.790286
-35.52,49,130.02246
34.76158,37,130.197439
-35.79,56,130.468695
35.706858,48,130.694838
-41.92,51,130.930414
-35.58,26,131.056887
39.995301,26,131.17926
-33.0,29,131.310734
-38.22,24,131.430444
-41.58,15,131.505957
-32.55,27,131.623616
-32.44,33,131.77533
-38.17,34,131.933669
-32.49,29,132.069856
44.189274,20,132.163915
-36.0,50,132.408521
-35.73,28,132.540964
41.090592,22,133.32036
37.927999,29,133.431334
-41.72,26,133.558652
35.004705,31,133.709411
-35.38,29,133.846415
-35.14,61,134.148845
-35.11,31,134.292702
-36.0,50,134.532191
-38.75,30,134.68072
32.422383,35,134.835658
35.041131,31,134.974174
38.272436,36,135.138523
-33.0,42,135.331967
32.045902,33,135.480283
37.847665,49,135.710431
32.891525,55,135.971589
-39.0,23,136.066616
33.0,36,136.220209
-32.44,46,136.410839
-32.54,40,136.582593
-41.32,41,136.791387
-38.38,33,136.949216
-39.0,31,137.099225
40.846787,41,137.3064
-37.9,32,137.445526
32.501916,48,137.669753
-35.78,30,137.809871
-41.32,28,137.930374
-38.76,27,138.062814
36.0,35,138.233349
-32.1,39,138.420562
-35.01,40,138.59083
-32.45,33,138.743844
-39.0,29,138.877981
-41.77,30,139.018981
-38.33,29,139.151271
-35.61,32,139.312111
-39.0,54,139.585414
34.553531,43,139.81296
-35.68,36,139.994999
32.085873,39,140.181109
-32.04,69,140.536842
-44.38,23,140.654199
-41.34,30,140.806339
-41.15,24,140.913601
-35.71,41,141.092824
-41.63,29,141.233642
32.689103,45,141.445007
-33.0,32,141.594722
32.435115,45,141.792202
35.003861,34,141.946578
-35.91,37,142.120479
-38.47,30,142.260389
-35.24,25,142.401423
-32.74,31,142.555732
-35.88,44,142.796392
-38.95,33,142.936045
-38.09,30,143.730637
32.180505,34,143.878925
-44.7,34,144.023827
-32.1,51,144.235127
32.527559,44,144.411421
-35.34,45,144.614933
-44.07,23,144.728422
-38.38,32,144.881612
-32.75,54,145.137078
-35.22,29,145.277537
-32.48,72,145.612292
-38.17,48,145.846143
-35.67,28,145.979405
-41.36,23,146.086931
38.323409,58,146.374818
-35.71,29,146.512982
-35.92,34,146.672522
-32.54,36,146.843442
-35.01,34,147.01033
36.0,85,147.38406
-35.38,32,147.503223
-34.42,35,147.64964
-32.32,73,147.981272
32.563218,39,148.172194
-38.05,40,148.365388
-35.1,36,148.538517
36.0,28,148.669919
-41.7,23,148.782116
-38.1,27,148.912843
37.402428,29,149.049238
-38.14,29,149.159572
-35.53,31,149.275831
38.750872,33,149.420459
-41.36,29,149.556021
-41.67,35,149.721148
-38.42,34,150.923317
-35.4,47,151.162215
-32.4,67,151.466044
-32.25,37,151.640054
-44.36,30,151.776119
32.880597,35,151.946769
-38.88,28,152.080787
-35.09,40,152.275078
32.555118,57,152.551892
-38.19,23,152.65987
-35.9,41,152.853625
-32.52,36,153.030723
35.054745,36,153.194455
-35.5,32,153.334356
-38.37,40,153.522228
-38.24,25,153.640055
36.0,27,153.767057
-41.42,17,153.843287
32.291829,30,153.985998
-35.61,26,154.117455
-32.37,31,154.841555
-32.06,42,155.035576
-35.13,48,155.257844
32.90493,35,155.413386
-35.61,33,155.57032
-38.4,27,155.698758
32.576923,33,155.853153
32.530556,45,156.064156
-41.89,33,156.223223
-35.5,33,156.378258
-35.06,37,156.552806
38.162162,19,156.651298
35.342205,31,156.802653
32.240854,37,156.993971
37.491126,37,157.18596
38.707317,24,157.305078
35.680608,28,157.44321
-32.53,32,157.603759
-44.47,27,157.756605
32.087662,39,157.951642
32.291971,66,158.286753
-38.73,23,158.402911
-38.84,27,158.531996
-38.94,26,158.655409
-35.61,33,158.826766
-38.5,44,159.052532
-36.0,42,159.256232
32.567114,30,159.394444
-38.69,38,159.57547
-44.5,24,159.688644
33.0,28,159.821439
-38.15,29,159.963572
-38.09,28,160.096405
32.372014,32,160.244591
32.344828,31,160.388516
35.88806,47,160.603963
-36.0,32,160.751115
32.078652,29,160.882266
-32.99,40,161.072201
-33.0,85,161.457839
38.501629,24,161.560499
-39.0,33,161.712159
-35.88,36,161.87533
34.110954,32,162.023453
-33.0,25,162.136252
-35.95,37,162.307406
-32.28,32,162.45676
34.671091,34,162.615614
-38.02,27,162.742023
35.115894,28,162.86692
38.403697,45,163.096296
-42.0,36,163.271581
-40.84,29,163.411591
-35.19,31,163.568161
-41.67,31,163.71462
-35.43,37,163.882413
-36.0,33,164.03941
-35.35,30,164.199719
32.827338,40,164.397579
-35.53,41,165.173215
-32.31,33,165.312831
-44.78,32,165.469627
-44.12,33,165.625726
36.780584,51,165.862195
-35.79,29,165.998254
-35.78,27,166.123671
-44.57,39,166.312269
-32.31,36,166.475366
-38.54,31,166.623158
-30.0,45,166.82613
-40.58,33,166.981953
-35.46,33,167.125946
-33.0,31,167.275137
32.160839,29,167.411054
38.386364,28,167.553643
-38.72,30,167.682871
-36.0,40,167.863397
-36.0,33,168.013613
38.471831,31,168.161001
-35.5,30,168.305296
-41.22,28,168.444921
-32.77,44,168.662402
-38.62,46,168.876741
-32.47,49,169.10094
-38.9,26,169.223988
-32.72,43,169.423906
38.143338,29,169.555451
32.383562,41,169.737899
-41.29,32,169.882809
-41.98,26,170.010232
-32.49,44,170.211557
-33.0,32,170.355913
-38.86,33,170.500331
-36.0,41,170.697237
-32.59,40,170.883733
43.953278,22,170.984588
-38.22,32,171.130485
35.896057,30,171.265391
-38.11,23,171.374681
32.404444,39,171.565176
33.0,38,171.748469
-41.69,36,171.918411
35.141818,43,172.12531
33.0,29,172.265454
34.799973,38,172.44924
-42.0,25,172.569918
32.419118,46,172.77528
33.0,36,172.924766
-35.19,35,173.082839
-38.25,26,173.207405
32.314642,36,173.374999
-33.0,36,173.544593
-44.07,29,173.68331
-42.0,20,173.775932
38.327863,28,173.884487
-44.02,26,174.011375
-35.82,33,174.163218
38.148276,64,174.469069
-44.81,17,174.551059
-32.72,50,175.355066
-38.51,41,175.533039
-32.79,22,175.631247
-33.0,40,175.818541
38.277906,86,176.20196
-41.32,30,176.347634
37.365412,26,176.475079
-35.45,30,176.614887
32.134897,37,176.786914
32.246212,39,176.971581
-32.71,55,177.231138
35.240602,32,177.382967
38.942308,45,177.591848
-32.62,30,177.739149
-35.34,28,177.871882
-38.44,49,178.102703
32.984615,77,178.519938
-32.03,41,178.708545
32.273092,51,178.956837
38.384314,29,179.103161
32.644444,43,179.329088
-41.37,25,179.449713
-35.08,52,179.712435
34.956433,40,179.905674
-35.55,32,180.060292
-38.45,31,180.210238
32.231544,31,180.366143
41.319392,25,180.488576
32.743772,35,180.660821
32.47,36,180.843358
32.9375,68,181.16822
-36.0,29,181.311922
-37.24,26,181.441163
38.361314,52,181.680207
36.0,43,181.888032
-32.04,47,182.11677
-35.52,29,182.264417
-38.54,40,182.454562
-38.64,26,182.579964
-42.0,53,182.839242
35.722222,58,183.142818
-32.86,36,183.325834
-35.06,35,183.48786
-32.2,42,183.692098
-38.82,37,183.8631
32.135359,40,184.065738
-35.16,74,184.401867
38.540094,29,184.543327
-35.87,43,184.742453
33.0,25,184.879468
-35.81,31,185.027278
-36.0,43,185.835137
-39.0,24,185.940874
35.731959,29,186.079887
-36.0,37,186.256306
41.594596,24,186.360918
-33.0,42,186.573269
-35.4,45,186.798723
-36.0,30,186.944612
32.538153,68,187.296052
-39.0,70,187.622953
-41.16,27,187.761295
-35.94,33,187.963325
-35.86,45,188.185398
33.0,38,188.338742
32.312693,56,188.600305
-32.74,31,188.751576
-32.47,25,190.17561
-32.69,31,190.302046
-32.8,75,190.649126
-32.24,75,190.998644
38.688889,46,191.214655
-35.2,28,191.352709
38.183763,33,191.502737
-41.9,35,191.66885
-32.77,41,191.864744
-32.39,33,192.019252
-35.72,40,192.202797
-38.32,25,192.317938
32.74031,33,192.477276
32.698182,33,192.634102
-41.63,26,192.758615
-41.75,51,193.005503
-35.8,37,193.177248
-35.84,38,193.349026
35.49375,46,193.571056
-32.34,36,193.735132
-41.37,23,193.8427
38.391156,30,193.987309
-32.32,35,194.14867
-42.0,40,194.330398
44.371486,25,194.443017
35.670635,53,194.679838
-44.18,28,194.810883
-38.14,108,195.315856
-35.36,62,195.597534
-38.95,44,195.803848
