#{"t_start": 1751257701.4948792, "env_id": "None"}
r,l,t
44.372,24,154.031815
46.508085,42,154.406428
42.0,26,154.659038
41.067293,36,155.004511
44.52045,32,155.309771
40.401039,31,155.611695
35.709302,31,155.896062
38.102564,28,156.184513
44.206061,33,156.501861
37.169329,47,156.915086
32.210526,34,157.219247
37.72333,31,157.532795
41.198863,30,157.826827
44.533333,28,158.093909
35.462264,46,158.50861
39.0,47,158.90073
38.448214,49,159.312894
41.125,29,159.595695
-32.84,47,159.989729
40.929742,47,160.408744
38.325581,37,160.731597
47.774834,16,160.93087
40.445752,29,161.213322
39.0,47,161.628861
41.457143,30,161.906288
44.182979,37,162.270715
44.110294,26,162.534606
43.377009,28,162.806334
41.298658,31,163.101146
37.628401,38,163.439755
35.109766,50,163.871414
38.201681,26,164.147875
41.239119,36,164.493081
44.07325,26,164.749044
-32.89,60,165.239497
37.664083,43,165.608978
37.747585,44,165.989639
43.558521,40,166.373964
44.702381,31,166.67175
41.073036,44,167.054038
-32.78,78,167.684974
40.119035,36,168.033465
37.408232,35,168.36473
41.224004,43,168.739012
41.507576,29,169.004287
47.589744,17,169.20941
41.946768,33,169.513634
35.237037,39,169.866797
40.455198,39,170.232043
35.764925,41,170.586543
32.908475,46,170.968998
43.690794,30,171.250799
40.704151,37,171.598048
37.774148,51,172.027697
41.533205,32,172.333527
40.4335,29,172.613354
43.247316,32,172.915906
41.805447,28,173.190802
44.384615,30,173.479151
41.756654,41,173.838143
44.615079,21,174.072423
35.265455,42,174.448707
35.715909,27,174.725471
40.984155,27,174.996473
-34.21,50,175.417714
40.124626,47,175.827853
43.975872,23,176.075098
38.748936,48,176.48751
41.670968,35,176.815454
38.672804,36,177.137666
35.362869,35,177.475948
35.360153,28,177.758495
35.834615,37,178.099196
-32.04,56,178.568424
37.882458,32,178.879534
43.767843,23,179.131299
32.749035,49,179.541184
39.902873,51,179.988723
38.67509,43,180.358284
41.413793,27,180.615215
44.304183,23,180.858756
38.348882,42,181.214521
40.540463,41,181.580482
44.052448,22,181.80902
46.073724,22,182.044194
35.616541,46,182.467949
41.174655,23,182.704428
43.946819,20,182.920862
41.535714,29,183.206254
40.495308,45,183.580796
35.986111,45,183.979331
41.128535,25,184.233759
41.236495,28,184.523826
43.182541,55,184.994862
36.0,38,185.336999
41.118884,41,185.701215
35.24031,48,186.110034
41.074874,26,186.390333
39.0,36,186.710552
-32.12,44,187.110952
35.177152,51,187.547321
-32.34,46,187.937182
35.883803,35,188.262962
38.2249,30,188.565165
38.332046,31,188.857064
43.823864,32,189.161085
42.0,30,189.446419
40.709979,50,189.877411
32.167857,44,190.254446
42.0,25,190.512004
38.902357,28,190.780701
32.208029,47,191.192897
43.013993,52,191.650458
46.456553,19,191.863466
42.0,25,192.123918
44.329193,32,192.437657
37.755213,42,192.815903
33.0,32,193.116451
38.438163,22,193.353562
44.093633,35,193.66949
35.565041,32,193.960118
32.624521,37,194.305565
35.540541,41,194.672587
41.125128,35,194.992662
-32.17,35,195.309842
40.753098,43,196.438473
35.457746,31,196.728439
40.108536,48,197.136169
35.073718,53,197.600455
-32.82,59,198.090856
38.923954,27,198.349873
41.449216,30,198.639853
41.617886,33,198.956748
46.633924,32,199.269676
42.0,31,199.57353
41.515748,25,199.840663
44.593975,25,200.089419
46.388819,29,200.383585
41.126762,32,200.693643
43.813882,48,201.10243
41.542636,33,201.411083
41.427477,33,201.733378
38.464786,57,202.196968
44.175837,20,202.416905
44.573083,25,202.678602
36.0,35,203.003572
42.0,28,203.280108
41.021265,50,203.725105
42.0,21,203.942462
35.19578,44,204.324438
40.981752,29,204.601159
38.301215,51,205.09766
41.748031,25,205.397009
38.777049,81,206.09326
38.505703,30,206.385495
35.433333,33,206.694563
43.846661,30,206.992018
38.290441,37,207.320964
47.866477,21,207.55122
40.348024,39,207.937249
43.849863,51,208.377251
35.473485,61,208.868145
41.64486,19,209.083834
42.0,23,209.325803
44.560863,46,209.741201
38.405556,45,210.13368
43.784632,28,210.418541
47.861736,26,210.682257
41.091255,25,210.938281
42.0,44,211.324361
-35.08,30,211.638741
33.0,35,211.956388
42.0,31,212.252871
35.54955,35,212.576767
44.714286,44,212.963494
44.341432,41,213.323754
44.8125,32,213.648118
38.410936,29,213.944797
41.408454,31,214.234995
46.265348,21,214.470911
41.505703,35,214.795508
-32.56,97,215.570455
43.330499,29,215.852821
45.0,20,216.074227
38.752542,39,216.431759
38.089826,29,216.720083
32.727564,54,217.16897
44.9,24,217.420421
41.570881,26,217.706019
47.69403,25,217.970482
45.581284,52,218.413288
39.0,28,218.697042
39.828466,36,219.023349
41.814103,29,219.311538
41.338511,50,219.745505
35.155462,30,220.025448
41.251701,27,220.287059
35.90146,64,220.8219
41.563679,31,221.118863
32.139535,53,221.592448
41.25188,32,221.900453
38.269612,37,222.241837
46.832816,23,222.483758
41.659509,26,222.752406
44.003704,27,223.020798
35.316,36,223.3448
41.41791,23,223.5785
44.377133,49,224.015907
41.576577,24,224.266008
33.0,46,224.649263
32.754768,30,224.942122
41.667656,30,225.226862
35.364372,51,225.666685
35.75,35,225.976859
32.842105,127,226.897835
37.812527,33,227.20916
32.377778,68,227.773771
32.82866,35,228.094661
44.037931,23,228.341106
48.0,18,228.551193
38.329317,30,228.849998
35.902985,37,229.179137
38.804714,46,229.595725
35.80292,58,230.077455
34.963427,43,230.449469
42.0,30,230.73805
32.313793,41,231.099799
41.200791,60,231.61575
